agency_id,agency_name,agency_url,agency_lang,agency_phone,agency_timezone,agency_fare_url
VV112,Mariekerke - Moerzeke CHECKME!,http://www.toerismekleinbrabant.be/actief_veerdiensten.htm,nl,+3252342641,Europe/Brussels,
VV248,Veere wandelroute Wallen,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=391,nl,0118-555447,Europe/Amsterdam,
VV158,Enkhuizen - Medemblik,http://www.msfriesland.nl/,nl,0229-214862,Europe/Amsterdam,
VV75,Fietsboot Vecht (Nieuwersluis-Breukelen-Maarssen-Zuilen),http://www.defietsboot.nl,nl,0294-237403,Europe/Amsterdam,
VV221,Kockengen - Joostendam,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=396,nl,0346-254111,Europe/Amsterdam,
VV128,Idegem - Recr.gebied De Gavers,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=201,nl,+3254416324,Europe/Brussels,
VV204,Kinderdijk - Krimpen a/d Lek,http://www.veerdienst-krimpen.nl,nl,0184-691127,Europe/Amsterdam,
VV95,Renkum - Heteren,http://www.uiterwaarde.nl,nl,06-22392881,Europe/Amsterdam,
VV200,Heemstede Cruquiushaven,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=370,nl,023-5485868,Europe/Amsterdam,
VV253,Amsterdam IJburg - Pampus - Muiden,http://www.veerdienstamsterdam.nl/,nl,020-4278888,Europe/Amsterdam,
VV142,Dendermonde Appels - Berlare,http://www.bovenzeeschelde-durme.be/index.php/veren/veer-appels-berlare,nl,+3252222773,Europe/Brussels,
VV96,Aduarderzijl - Schaphalsterzijl,http://www.reitdiepveer.nl,nl,06-17365531,Europe/Amsterdam,
VV247,Leiden Merenwijk - Warmond Zijldijk,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=220,nl,06-50291492,Europe/Amsterdam,
VV201,Dintelsas - Ooltgensplaat,http://www.waterpoort-rondvaarten.nl,nl,0167-528024,Europe/Amsterdam,
VV164,Berlare Overmere - Donk,http://www.botenverhuur.be/overzetboot/index.html,nl,+3293678772,Europe/Brussels,
VV126,Leerdam Diefdijk,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=388,nl,0345-586611,Europe/Amsterdam,
VV64,Joure Jachthaven,http://www.schiffartgrou.nl/nw-16598-7-124701/nieuws/zelfbedienings_pont.html,nl,0513-413684,Europe/Amsterdam,
FNL,Ferries Netherlands,http://plannerstack.org,nl,,Europe/Amsterdam,
VV40,Zegveld - Kamerik CHECKME!,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=408,nl,140348,Europe/Amsterdam,
VV6,Rijnsaterwoude - Oude Wetering,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=109,nl,071-3315395,Europe/Amsterdam,
VV225,Werkendam Bakkerskil,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=335,nl,0183-507200,Europe/Amsterdam,
VV24,Sint Annaland - Zierikzee CHECKME!,http://www.frisiarondvaarten.nl,nl,0166-654321,Europe/Amsterdam,
VV179,Hijken Oranjekanaal,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=416,nl,0522-445555,Europe/Amsterdam,
VV4,Rotterdam Veerhaven - Hotel New York CHECKME!,http://www.watertaxirotterdam.nl,nl,010-4030303,Europe/Amsterdam,
VV167,Woerden - Kamerik,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=356,nl,0348-401200,Europe/Amsterdam,
VV54,Burghsluis - Colijnsplaat / Zierikzee,http://www.ms-onrust.nl,nl,0111-414309,Europe/Amsterdam,
VV227,Klazienaveen,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=414,nl,,Europe/Amsterdam,
VV109,Dordrecht Merwekade - Zwijndrecht CHECKME!,http://www.waterbus.nl,nl,0900-0232545,Europe/Amsterdam,
VV123,Lochem Dochterenseweg - Staringkoepel,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=247,nl,0575-555560,Europe/Amsterdam,
VV80,Tijnje - Nij Beets,http://www.tynje.nl/toerisme/fietsen/fietsen.htm,nl,0512-462162,Europe/Amsterdam,
VV72,Fortmond - Veessen,http://www.kozakkenveer.nl/,nl,0578-631369,Europe/Amsterdam,
VV39,Gorinchem - Werkendam - Hardinxveld CHECKME!,http://www.veerdienstgorinchem.nl,nl,0183-659314,Europe/Amsterdam,
VV43,Ameland - Schiermonnikoog,http://www.robbenboot.nl/,nl,0519-720550,Europe/Amsterdam,
VV10,Eijsden - Lanaye,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=241,nl,06-53350123,Europe/Amsterdam,
VV130,Lauwersoog - Suyderoogh,http://www.rtvnoord.nl/artikel/artikel.asp?p=121728,nl,,Europe/Amsterdam,
VV119,Valkenburg - Rijnsburg,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=106,nl,071-4075460,Europe/Amsterdam,
VV26,Rhoon - Oud Beijerland - Spijkenisse,http://www.rhoonsveer.nl,nl,06-55327828,Europe/Amsterdam,
VV14,Amsterdam CS - IJplein CHECKME!,http://www.gvb.nl,nl,0900-8011,Europe/Amsterdam,
VV34,Zoeterwoude Geerweg - Blankaardpolder,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=355,nl,06-13925825,Europe/Amsterdam,
VV44,Maassluis - Rozenburg,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=124,nl,010,Europe/Amsterdam,
VV55,Enkhuizen - Zuiderzeemuseum,http://www.zuiderzeemuseum.nl,nl,0228-351111,Europe/Amsterdam,
VV102,Rheeze - Oud-Bergentheim CHECKME!,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=314,nl,140523,Europe/Amsterdam,
VV234,Hillegom - De Zilk (1),http://www.voetveren.nl/sub-overzicht/detail.php?nummer=429,nl,,Europe/Amsterdam,
VV160,Bruinisse - Anna Jacobapolder,http://www.zeehaantje.nl,nl,0167-576046,Europe/Amsterdam,
VV154,Puttershoek - Zwijndrecht Groote Lindt,http://www.veerputtershoek.nl,nl,06-10885953,Europe/Amsterdam,
VV16,Noordlaren Osdijk - Recreatiegebied Meerwijck,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=11,nl,0598-373737,Europe/Amsterdam,
VV2,Brekkenpolder - Lemmer,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=27,nl,0514-567575,Europe/Amsterdam,
VV117,Arcen - Lottum,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=418,nl,077-4739234,Europe/Amsterdam,
VV151,Haerst - Zwolle Agnietenberg,http://pontpoezie.nl/index.html,nl,0529-427666,Europe/Amsterdam,
VV165,Borculo Ribberspad,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=424,nl,,Europe/Amsterdam,
VV61,Hamme Driegoten - Weert,http://www.toerismekleinbrabant.be/actief_veerdiensten.htm,nl,+3252480424,Europe/Brussels,
