trip_id,start_time,end_time,headway_secs,exact_times
aeaaaa37-cc0b-4e2e-9956-b5756e5d5a5f_trip,00:00:00,24:00:39,3600,0
27817646-09b9-4a29-a3d7-841d7725009e_trip,00:00:00,24:00:39,3600,0
5bf445f3-b400-44cd-b1a3-9664aa56b9c4_trip,00:00:00,24:00:39,3600,0
c92d0805-3634-4240-b671-943cb74842a6_trip,00:00:00,24:00:39,3600,0
0cd788d0-7a0f-43c5-acc8-2604064e2c29_trip,00:00:00,24:00:39,3600,0
796962ac-3f29-4b07-b9a4-f38dfbc94ef1_trip,00:00:00,24:00:39,3600,0
d5952b2f-6df9-4b26-b028-304eb6f6e9b1_trip,00:00:00,24:00:39,3600,0
acc627e1-9822-4ead-9886-0a0238b8f553_trip,00:00:00,24:00:39,3600,0
6c8df1e7-3ea0-42ce-b321-959fa49a712c_trip,00:00:00,24:00:39,3600,0
b166f6fa-619d-4baa-9a2a-2d18fb576548_trip,00:00:00,24:00:39,3600,0
30db1347-31da-4623-a6dc-48c71d8ba819_trip,00:00:00,24:00:39,3600,0
04f4c19f-5387-48ff-886d-d26933074444_trip,00:00:00,24:00:39,3600,0
4f2dd6f8-f554-44e9-a668-164448f95a79_trip,00:00:00,24:00:39,3600,0
b13d23ef-e7f3-45bb-9d52-ef432f73a8d1_trip,00:00:00,24:00:39,3600,0
c1f666d2-a56b-4ac0-8864-847d189d51e1_trip,00:00:00,24:00:39,3600,0
4242d8cd-2d5e-4149-80f2-b2ecffc732cf_trip,00:00:00,24:00:39,3600,0
1131242a-b3bc-4344-836d-b567c4587d31_trip,00:00:00,24:00:39,3600,0
0d16cd80-914b-4921-81ae-f33236ec3561_trip,00:00:00,24:00:39,3600,0
85962e56-242f-479f-a3a4-39a2a4625219_trip,00:00:00,24:00:39,3600,0
2563771f-86b7-4c73-a8f5-8804dfc361d3_trip,00:00:00,24:00:39,3600,0
3a680ff4-79e9-4d38-a73d-6202ca827e28_trip,00:00:00,24:00:39,3600,0
db604ec1-0071-4f91-962c-1e7c41e7b83a_trip,00:00:00,24:00:39,3600,0
739a37f2-4950-4059-9d99-4ef056cb0ae9_trip,00:00:00,24:00:39,3600,0
48c0c531-d7b5-40f0-bbb5-c88b79f557b0_trip,00:00:00,24:00:39,3600,0
2413d4b9-0a01-4bd7-8415-5af39b0e02ea_trip,00:00:00,24:00:39,3600,0
c41dfaa9-b6c4-431a-b362-969fb828a417_trip,00:00:00,24:00:39,3600,0
f9b470da-1c83-4a09-81ae-6a428015934c_trip,00:00:00,24:00:39,3600,0
8ea1a8db-290a-4849-a0b5-b50dfabd3c19_trip,00:00:00,24:00:39,3600,0
9865ee4f-aefb-42a3-966c-e10a1d9f4096_trip,00:00:00,24:00:39,3600,0
dbc9fd5f-e4f8-4507-a640-8f9fcff17647_trip,00:00:00,24:00:39,3600,0
7cc08445-0ffe-4d0e-8e5b-307db4eef5a1_trip,00:00:00,24:00:39,3600,0
1e3c905f-c414-448c-8afd-3986aa858221_trip,00:00:00,24:00:39,3600,0
8e6fa73d-9bd1-4de8-a520-e68453f09001_trip,00:00:00,24:00:39,3600,0
8a79a162-90cd-42f8-a873-4a7d4744f2c9_trip,00:00:00,24:00:39,3600,0
d0e04be4-cbc8-4ddd-a7d3-9270f7cb01f8_trip,00:00:00,24:00:39,3600,0
5bc625e2-f1ab-4d57-848b-90049f44e583_trip,00:00:00,24:00:39,3600,0
d014aba8-8efa-45b4-aae7-8ed16ebcd216_trip,00:00:00,24:00:39,3600,0
aff8d98c-4d98-4fa2-a454-09e19c29696a_trip,00:00:00,24:00:39,3600,0
87886cbe-97c1-420c-b751-4ddb8382548b_trip,00:00:00,24:00:39,3600,0
63668efe-a5c1-4ba4-87f9-7285b36d2107_trip,00:00:00,24:00:39,3600,0
e1637d19-1e8e-486c-9752-380b7ed41c5f_trip,00:00:00,24:00:39,3600,0
7b356bb4-c900-468e-8dbe-5553e7d3a873_trip,00:00:00,24:00:39,3600,0
3a7aeaf8-6ce3-4426-8dde-491782f143c4_trip,00:00:00,24:00:39,3600,0
a09e4387-12d1-421a-ac8d-9e3a3cf4ccd9_trip,00:00:00,24:00:39,3600,0
1cde4c79-56a8-47e5-b35b-b34742c8d1e8_trip,00:00:00,24:00:39,3600,0
6854bbee-32ac-48db-8e40-657c4c3b9a10_trip,00:00:00,24:00:39,3600,0
d3fccc43-d726-45b6-9e95-dbe0c109429b_trip,00:00:00,24:00:39,3600,0
c1df9ec4-db20-491b-9ebd-b43bab2bf22a_trip,00:00:00,24:00:39,3600,0
7b32c28f-24ee-4776-9c20-1a87e2dad300_trip,00:00:00,24:00:39,3600,0
0a4ef836-762f-4889-a476-6fde84be9195_trip,00:00:00,24:00:39,3600,0
6ef555af-a820-420b-87f1-25fe83da2dc5_trip,00:00:00,24:00:39,3600,0
4b2af2b6-947f-4177-bb0f-b50ee355d736_trip,00:00:00,24:00:39,3600,0
26f5ff3a-f014-40c0-b2ad-ab65a3bbd948_trip,00:00:00,24:00:39,3600,0
18f91e17-44df-4aa1-b29a-244fb1c70c2e_trip,00:00:00,24:00:39,3600,0
155d8208-3f9d-41fe-b3a8-b81a120982b2_trip,00:00:00,24:00:39,3600,0
7a130a98-49ad-44f9-a2cd-2f49b751a4d9_trip,00:00:00,24:00:39,3600,0
8e159d3c-1f7c-4e66-9b6a-11347fde4fff_trip,00:00:00,24:00:39,3600,0
6370e7c5-19e3-45f8-b9ef-1e1b646036a1_trip,00:00:00,24:00:39,3600,0
ade2a694-c4b8-4d36-81e2-2aa7b41435bf_trip,00:00:00,24:00:39,3600,0
898cc3c2-b1ce-4623-8dff-012b17cdf4c3_trip,00:00:00,24:00:39,3600,0
99b0a1e6-480c-4805-8656-1e04b0a83468_trip,00:00:00,24:00:39,3600,0
04676e43-07a5-48e7-ad10-0b1ffa93a9e1_trip,00:00:00,24:00:39,3600,0
5992b3b1-06b8-4c9f-b319-24f905988cb0_trip,00:00:00,24:00:39,3600,0
6f05f5da-5a38-4555-bb9d-1a1144608ed5_trip,00:00:00,24:00:39,3600,0
3c70a701-7943-4043-94bb-66da8e6744a3_trip,00:00:00,24:00:39,3600,0
859f4a81-5811-456b-896b-0f8f2447c054_trip,00:00:00,24:00:39,3600,0
3094cbc6-20c0-47a0-91bd-a23c142ee0d8_trip,00:00:00,24:00:39,3600,0
e60ebe43-4c89-44ab-9f9e-2f1a7bfe859b_trip,00:00:00,24:00:39,3600,0
b7062ab1-2f9e-4dd4-8a05-f00cdd231ee0_trip,00:00:00,24:00:39,3600,0
aa6deb8a-6aa7-4d8d-a3e7-bc289316eab9_trip,00:00:00,24:00:39,3600,0
5567e560-d38d-4ed2-840b-b19751947a4f_trip,00:00:00,24:00:39,3600,0
a6c936df-5dae-4c14-9c9c-73a84c13a004_trip,00:00:00,24:00:39,3600,0
e505a9f8-b179-4053-b32d-ea8ad8691133_trip,00:00:00,24:00:39,3600,0
f12966be-e652-4198-a298-eb9abde65d37_trip,00:00:00,24:00:39,3600,0
e43e735e-8459-42bc-a7d2-451f391dd26c_trip,00:00:00,24:00:39,3600,0
a591ff47-2665-438c-a63c-e6b6afd9c915_trip,00:00:00,24:00:39,3600,0
b155b0d3-67d6-40c2-87e5-f2a5f9729bac_trip,00:00:00,24:00:39,3600,0
df1370d8-9cdf-4b42-a591-f32aefa7e4c3_trip,00:00:00,24:00:39,3600,0
50a63344-202b-43e2-8939-2fab74a18f7c_trip,00:00:00,24:00:39,3600,0
203d48fe-6d04-4397-8779-e0728654f416_trip,00:00:00,24:00:39,3600,0
0c86c282-e859-4e5e-b7d6-66fdf3b579c0_trip,00:00:00,24:00:39,3600,0
477c54e8-abd5-4e2b-86e1-d4015c703da9_trip,00:00:00,24:00:39,3600,0
df733725-786a-469e-bff1-75f0b0334e70_trip,00:00:00,24:00:39,3600,0
76a87504-9b09-43f9-beab-d4d7406a9b3e_trip,00:00:00,24:00:39,3600,0
c92ba6d1-0370-4c50-a722-e841b4a3239f_trip,00:00:00,24:00:39,3600,0
85fd7cb3-993d-4e3e-a0f0-d2411bbcd2e8_trip,00:00:00,24:00:39,3600,0
75fd52d4-aad8-4f39-bc17-b97e9eaef469_trip,00:00:00,24:00:39,3600,0
3972ca18-9b48-4857-93ec-6a8fe9d2a5b2_trip,00:00:00,24:00:39,3600,0
e2d70d9e-4fd0-4c43-b0d8-d5da16b88872_trip,00:00:00,24:00:39,3600,0
ad6f70ff-bc8c-45f4-a8ec-bc963b102cb7_trip,00:00:00,24:00:39,3600,0
fb1851d0-1886-497e-bdf4-2a622efb88f3_trip,00:00:00,24:00:39,3600,0
5ae6238f-d6c5-4871-b271-c62e749e447e_trip,00:00:00,24:00:39,3600,0
413d8ce6-7456-4892-915c-f3fb3d9ee97c_trip,00:00:00,24:00:39,3600,0
aa5330db-3d53-4588-9393-e5a973777db1_trip,00:00:00,24:00:39,3600,0
09092fe3-e2d6-448e-b66b-033a5081dc5c_trip,00:00:00,24:00:39,3600,0
e4e9fa1e-4c72-4239-94df-05eeee7ba993_trip,00:00:00,24:00:39,3600,0
b3592090-2a8d-4215-8d5c-624899d3d8aa_trip,00:00:00,24:00:39,3600,0
0c4b7c76-5926-4692-97a0-ce969525c4c8_trip,00:00:00,24:00:39,3600,0
fa7ffae8-56a4-4fa8-b00d-296a9718dc7e_trip,00:00:00,24:00:39,3600,0
3c9ac378-a91e-4fca-a07b-ee31fd752d5a_trip,00:00:00,24:00:39,3600,0
2671f80d-fa8b-4157-94a7-8d2cfba03d0a_trip,00:00:00,24:00:39,3600,0
14810203-ebf6-4ae9-9d06-cf40ecca1d34_trip,00:00:00,24:00:39,3600,0
3760eb0e-4eb6-4133-b8a8-e205f117c47d_trip,00:00:00,24:00:39,3600,0
978fadc9-5f43-485e-8bb7-4e77958aac33_trip,00:00:00,24:00:39,3600,0
fefd00ed-667c-46aa-890d-927c3ab25d61_trip,00:00:00,24:00:39,3600,0
dd14dd8b-962f-4a86-9370-f2cc0cc5773b_trip,00:00:00,24:00:39,3600,0
520bfa14-7f17-4139-bac5-583b1c6e651d_trip,00:00:00,24:00:39,3600,0
5e4f22c3-e628-4d8e-85cf-d92bd5560f7c_trip,00:00:00,24:00:39,3600,0
b13cac7b-699e-4de8-ac42-32124c37d9cf_trip,00:00:00,24:00:39,3600,0
48d71589-d32e-43a3-a909-015326dbd385_trip,00:00:00,24:00:39,3600,0
2261cc53-0766-48f8-83e3-4ba2d045a832_trip,00:00:00,24:00:39,3600,0
17e7523a-203d-4754-b45d-8d3ef5408815_trip,00:00:00,24:00:39,3600,0
1004521b-174e-49d9-bc06-8b298ff3b0e5_trip,00:00:00,24:00:39,3600,0
a1dc82d0-951f-45ee-8cd7-a762a4d7d88a_trip,00:00:00,24:00:39,3600,0
14a90a26-2645-4356-ac7b-3243bf3017a8_trip,00:00:00,24:00:39,3600,0
e51b5d78-f372-4f0a-9470-66368f9edea6_trip,00:00:00,24:00:39,3600,0
9594cd46-b629-44f8-95c9-3dcb3824fcda_trip,00:00:00,24:00:39,3600,0
d97f3289-8ce0-44a4-a1f2-13b4179bf2ab_trip,00:00:00,24:00:39,3600,0
e1b790c3-313f-4e69-b45f-987d31acba02_trip,00:00:00,24:00:39,3600,0
6c7edc8b-8d10-4318-8fc4-fb31cd8965ac_trip,00:00:00,24:00:39,3600,0
434a0189-541e-4367-b3ee-8cbd54f5de73_trip,00:00:00,24:00:39,3600,0
ab39f978-828c-41c0-896b-ad6cd20aaf26_trip,00:00:00,24:00:39,3600,0
65c77aad-d8f8-448e-a94b-1efa940e0223_trip,00:00:00,24:00:39,3600,0
d7c5f3d3-ac65-468a-ad84-9e3bf2666baf_trip,00:00:00,24:00:39,3600,0
12a47641-bcba-4351-b511-10f18f1209ee_trip,00:00:00,24:00:39,3600,0
02ca1d91-422f-4d35-8586-573d3dac7533_trip,00:00:00,24:00:39,3600,0
64ad5727-bbd8-4e24-9fa9-31ba02108919_trip,00:00:00,24:00:39,3600,0
8574fd13-f9e2-4ab7-8f48-d57eef66bb77_trip,00:00:00,24:00:39,3600,0
3726b9b7-d4eb-4fd2-990f-a36ec597c60b_trip,00:00:00,24:00:39,3600,0
7fc3e817-d756-4588-b177-4202d62f81f0_trip,00:00:00,24:00:39,3600,0
30655f84-00a0-4cea-9df8-f881555dcc11_trip,00:00:00,24:00:39,3600,0
a346b63a-ce04-49ba-b6ac-71275a4d6008_trip,00:00:00,24:00:39,3600,0
9fa57b1c-b366-4191-b7db-03e1cc450a23_trip,00:00:00,24:00:39,3600,0
7b2c0296-bc63-4075-a3af-c824af8fe706_trip,00:00:00,24:00:39,3600,0
32f83fd4-ecc5-41ff-9ba1-932716d7024a_trip,00:00:00,24:00:39,3600,0
ca225347-141e-4da8-914b-0c6b064fdcd1_trip,00:00:00,24:00:39,3600,0
0d93bc15-8ca9-4b37-b5cf-6a1e38ba298d_trip,00:00:00,24:00:39,3600,0
87a61586-40ae-4a40-b7fc-78a1248785ad_trip,00:00:00,24:00:39,3600,0
daba2a68-f7a5-47eb-8287-c13abb59a13d_trip,00:00:00,24:00:39,3600,0
15a8d603-5843-4c2e-86f4-9e83faeba2e1_trip,00:00:00,24:00:39,3600,0
6f097ccf-1b4c-45e0-8d37-707eea1f6c76_trip,00:00:00,24:00:39,3600,0
cff2ddc3-f49e-4caf-8143-71ed86c8a168_trip,00:00:00,24:00:39,3600,0
5a0034dd-4635-4a9d-ad2a-d6a9320bdcd7_trip,00:00:00,24:00:39,3600,0
af8e6073-d2e5-4911-91d4-fbdfebcfabb4_trip,00:00:00,24:00:39,3600,0
26b63313-5327-4554-b8d8-342560953e52_trip,00:00:00,24:00:39,3600,0
0b7b5f22-d2eb-485e-be97-89b78f89d9c6_trip,00:00:00,24:00:39,3600,0
0b6d10b3-9da4-434e-88e1-0feffd3315bd_trip,00:00:00,24:00:39,3600,0
da447bd4-27e0-4bac-889d-b29558f5e21d_trip,00:00:00,24:00:39,3600,0
79218dc6-7a95-4a1b-a25f-f53daaf2c360_trip,00:00:00,24:00:39,3600,0
