agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
VV241,Gr02,Fiets-/Voetveer,Delfzijl - Emden - Ditzum,Fiets-/Voetveer over Eems,4,http://www.dollard-route.de/index.php?pageId=791,FFFFFF,000000
VV15,Gr03,Fiets-/Voetveer,Delfzijl - Emden-Knock- Borkum,Fiets-/Voetveer over Eems - Dollard,4,http://www.borkumlijn.nl,FFFFFF,000000
VV15,Gr04,Autoveer,Eemshaven - Borkum,Autoveer over Waddenzee,4,http://www.borkumlijn.nl,FFFFFF,000000
VV214,Ge25,Fiets-/Voetveer,Enspijk - Marienwaerdt landgoed,Fiets-/Voetveer over Linge,4,http://www.marienwaerdt.nl/,FFFFFF,000000
VV39,Ge27,Autoveer,Brakel - Herwijnen,Autoveer over Waal,4,http://www.veerdienstgorinchem.nl,FFFFFF,000000
VV13,Ge28,Fiets-/Voetveer,Varik - Heerewaarden,Fiets-/Voetveer over Waal,4,http://www.uiterwaarde.nl,FFFFFF,000000
VV195,Ge29,Fiets-/Voetveer,Tiel - Wamel,Fiets-/Voetveer over Waal,4,http://www.tiel.nl/balie/product.asp?id=95D33D1A-97FE-45E5-92FE-BAC99BA84F22,FFFFFF,000000
VV203,NH63,Voetveer,Amsterdam Schellingwoude (oost),Voetveer over Zijkanaal van IJ,4,http://www.voetveren.nl/sub-overzicht/detail.php?nummer=365,FFFFFF,000000
VV13,Ge30,Fiets-/Voetveer,Druten - Dodewaard,Fiets-/Voetveer over Waal,4,http://www.uiterwaarde.nl,FFFFFF,000000
VV238,ZH68 / NB32,Fiets-/Voetveer,Strijensas - Moerdijk,Fiets-/Voetveer over Hollands Diep,4,http://vaardienstendezwart.nl,FFFFFF,000000
VV18,NH61,Voetveer,Hobrede - Middelie,Voetveer over Wijzend,4,http://static.telegraaf.nl/media/090808.route.pdf,FFFFFF,000000
VV23,Ge37 / NB19,Autoveer,Alphen - Oijen,Autoveer over Maas,4,http://www.maasveren.nl,FFFFFF,000000
