shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
001817a9-673a-4bdf-8c99-8385877f6fad,51.8090700,4.5802600,1,0.0000000
001817a9-673a-4bdf-8c99-8385877f6fad,51.8072200,4.5772100,2,294.3152901
001817a9-673a-4bdf-8c99-8385877f6fad,51.8072200,4.5772100,3,294.3152901
0076b4ff-0a23-4c47-8d5a-cfdae22de7f2,53.0097100,5.6218600,1,0.0000000
0076b4ff-0a23-4c47-8d5a-cfdae22de7f2,53.0097400,5.6220300,2,11.8897879
0076b4ff-0a23-4c47-8d5a-cfdae22de7f2,53.0097400,5.6220300,3,11.8897879
011f1468-c604-4a75-9b2d-61c3c8241075,51.5303900,3.5190600,1,0.0000000
011f1468-c604-4a75-9b2d-61c3c8241075,51.5304700,3.5192500,2,15.9085553
011f1468-c604-4a75-9b2d-61c3c8241075,51.5304700,3.5192500,3,15.9085553
01f42104-4338-41db-9dfb-cbfd97cb5baa,52.2544400,5.3283300,1,0.0000000
01f42104-4338-41db-9dfb-cbfd97cb5baa,52.2548300,5.3274300,2,75.2352190
01f42104-4338-41db-9dfb-cbfd97cb5baa,52.2548300,5.3274300,3,75.2359019
0228076f-e4a9-4718-a12c-049ed79005ca,52.0825900,6.1709200,1,0.0000000
0228076f-e4a9-4718-a12c-049ed79005ca,52.0820600,6.1726600,2,133.0623016
0228076f-e4a9-4718-a12c-049ed79005ca,52.0820600,6.1726600,3,133.0623016
02ca1d91-422f-4d35-8586-573d3dac7533,51.8296000,5.4968100,1,0.0000000
02ca1d91-422f-4d35-8586-573d3dac7533,51.8311100,5.4972200,2,170.3698260
02ca1d91-422f-4d35-8586-573d3dac7533,51.8311100,5.4972200,3,170.3698260
0377b13f-aaa4-4dba-a653-77633d37c154,52.0924700,4.8619100,1,0.0000000
0377b13f-aaa4-4dba-a653-77633d37c154,52.0924700,4.8616300,2,19.1895118
0377b13f-aaa4-4dba-a653-77633d37c154,52.0924700,4.8616300,3,19.1895118
043405be-1cad-4ff8-807c-ea30155b3ea0,53.0313900,5.8363900,1,0.0000000
043405be-1cad-4ff8-807c-ea30155b3ea0,53.0309000,5.8356400,2,74.1980460
043405be-1cad-4ff8-807c-ea30155b3ea0,53.0309000,5.8356400,3,74.1980460
04676e43-07a5-48e7-ad10-0b1ffa93a9e1,53.3953600,6.2124700,1,0.0000000
04676e43-07a5-48e7-ad10-0b1ffa93a9e1,53.3953600,6.2124700,2,0.0000000
04676e43-07a5-48e7-ad10-0b1ffa93a9e1,53.3953600,6.2124700,3,0.0000000
04676e43-07a5-48e7-ad10-0b1ffa93a9e1,53.4004800,6.2076600,4,653.5055026
04676e43-07a5-48e7-ad10-0b1ffa93a9e1,53.4045900,6.2089100,5,1118.4173168
04676e43-07a5-48e7-ad10-0b1ffa93a9e1,53.4040900,6.2103900,6,1231.4903228
04676e43-07a5-48e7-ad10-0b1ffa93a9e1,53.4040900,6.2103900,7,1231.4903228
049b8e55-54e8-41e1-b5fe-bc4560e8ac70,51.9114200,4.2432100,1,0.0000000
049b8e55-54e8-41e1-b5fe-bc4560e8ac70,51.9146600,4.2493600,2,555.9215071
049b8e55-54e8-41e1-b5fe-bc4560e8ac70,51.9146600,4.2493600,3,555.9215071
04f4c19f-5387-48ff-886d-d26933074444,51.9744900,4.6293400,1,0.0000000
04f4c19f-5387-48ff-886d-d26933074444,51.9742700,4.6296200,2,31.1354531
04f4c19f-5387-48ff-886d-d26933074444,51.9742700,4.6296200,3,31.1361403
052a2d56-2d20-45b4-b47c-dcb67aaa5512,51.8170100,5.0111000,1,0.0000000
052a2d56-2d20-45b4-b47c-dcb67aaa5512,51.8170100,5.0111000,2,0.0000000
052a2d56-2d20-45b4-b47c-dcb67aaa5512,51.8169100,5.0088200,3,157.6169152
052a2d56-2d20-45b4-b47c-dcb67aaa5512,51.8169100,5.0088200,4,157.6169152
05759751-9927-422e-9bd8-3bdc8eb4e1a1,51.9842700,5.4567700,1,0.0000000
05759751-9927-422e-9bd8-3bdc8eb4e1a1,51.9830600,5.4563900,2,137.1408933
05759751-9927-422e-9bd8-3bdc8eb4e1a1,51.9830600,5.4563900,3,137.1415803
05c90f47-22ec-4035-b810-2c5b2df713b7,51.4975800,4.0542100,1,0.0000000
05c90f47-22ec-4035-b810-2c5b2df713b7,51.4961300,4.0589300,2,365.3303513
05c90f47-22ec-4035-b810-2c5b2df713b7,51.5275400,4.0735200,3,4003.7714375
