trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
001817a9-673a-4bdf-8c99-8385877f6fad_trip,00:30:00,00:31:00,STOP_089540cc-b87e-4ab9-a52e-f122ff4a6155,1,Zwijndrecht Groote Lindt,0,0,0.3102679,
001817a9-673a-4bdf-8c99-8385877f6fad_trip,01:00:00,01:01:00,VV:154:1,2,Puttershoek,0,0,293.6098617,
0076b4ff-0a23-4c47-8d5a-cfdae22de7f2_trip,00:30:00,00:31:00,STOP_5305a789-c9cb-4ca3-9104-8382fd3a8c21,1,IJlst Ruterpolder,0,0,0.0000000,
0076b4ff-0a23-4c47-8d5a-cfdae22de7f2_trip,01:00:00,01:01:00,STOP_5096e66a-c024-407c-877f-4f13cc9dd27e,2,IJlst Eegracht,0,0,11.7070423,
011f1468-c604-4a75-9b2d-61c3c8241075_trip,00:30:00,00:31:00,STOP_9cf0d09a-dd6c-4472-a8de-3023fd0a3fb8,1,Walcheren 3,0,0,0.0000000,
011f1468-c604-4a75-9b2d-61c3c8241075_trip,01:00:00,01:01:00,STOP_373a15b9-c351-4bd8-94d1-cd4095793bd8,2,Walcheren 3,0,0,15.8872843,
01f42104-4338-41db-9dfb-cbfd97cb5baa_trip,00:30:00,00:31:00,VV:237:2,1,Eemdijk,0,0,0.0000000,
01f42104-4338-41db-9dfb-cbfd97cb5baa_trip,01:00:00,01:01:00,STOP_01197575-72cb-48bf-8a79-097a4aa56baf,2,Eemnes,0,0,75.2357769,
0228076f-e4a9-4718-a12c-049ed79005ca_trip,00:30:00,00:31:00,VV:135:1,1,Brummen,0,0,0.0000000,
0228076f-e4a9-4718-a12c-049ed79005ca_trip,01:00:00,01:01:00,STOP_bd00f53b-62b7-4ceb-b8bc-45bbf80717c5,2,Bronkhorst,0,0,133.0623016,
02ca1d91-422f-4d35-8586-573d3dac7533_trip,00:30:00,00:31:00,STOP_4a1076c5-9f5e-4f21-97b7-80970e8a875a,1,Oijen,0,0,0.0000000,
02ca1d91-422f-4d35-8586-573d3dac7533_trip,01:00:00,01:01:00,VV:23:9,2,Alphen,0,0,170.3697116,
0377b13f-aaa4-4dba-a653-77633d37c154_trip,00:30:00,00:31:00,STOP_e50e78e7-b478-4750-aa68-5ed06a441561,1,Woerden,0,0,0.0000000,
0377b13f-aaa4-4dba-a653-77633d37c154_trip,01:00:00,01:01:00,STOP_5ebf2514-369f-42f5-b7ba-cc5a53bff11b,2,Zegveld,0,0,19.0129945,
043405be-1cad-4ff8-807c-ea30155b3ea0_trip,00:30:00,00:31:00,VV:136:2,1,Akkrum,0,0,0.0000000,
043405be-1cad-4ff8-807c-ea30155b3ea0_trip,01:00:00,01:01:00,STOP_e2f67b4d-0ec1-4011-9574-958731c41484,2,Nije Schouw,0,0,74.1980460,
04676e43-07a5-48e7-ad10-0b1ffa93a9e1_trip,00:30:00,00:31:00,STOP_5c0b5198-f411-42fe-8149-d0c2d648eb4d,1,Suyderoogh,0,0,0.0000000,
04676e43-07a5-48e7-ad10-0b1ffa93a9e1_trip,01:00:00,01:01:00,VV:130:1,2,Lauwersoog Het Booze Wijf,0,0,1231.3754149,
049b8e55-54e8-41e1-b5fe-bc4560e8ac70_trip,00:30:00,00:31:00,STOP_6478e0cd-9373-4913-9669-d12469389d97,1,Rozenburg,0,0,0.2425071,
049b8e55-54e8-41e1-b5fe-bc4560e8ac70_trip,01:00:00,01:01:00,VV:44:1,2,Maassluis,0,0,555.7427148,
04f4c19f-5387-48ff-886d-d26933074444_trip,00:30:00,00:31:00,STOP_30685971-30f6-4890-aae6-86a708d588d0,1,Nieuwerkerk a/d IJssel,0,0,0.4329203,
04f4c19f-5387-48ff-886d-d26933074444_trip,01:00:00,01:01:00,STOP_28ddca26-4381-440c-b71b-7d1f14b67bfd,2,Kortenoord scoutinggebouw,0,0,31.1354535,
052a2d56-2d20-45b4-b47c-dcb67aaa5512_trip,00:30:00,00:31:00,STOP_648e5280-acca-4045-abb8-6f32f90bb396,1,Loevestein,0,0,0.2698176,
052a2d56-2d20-45b4-b47c-dcb67aaa5512_trip,01:00:00,01:01:00,STOP_27d9986f-49f7-4abb-a4cc-d035889d8ec0,2,Woudrichem,0,0,157.5066010,
05759751-9927-422e-9bd8-3bdc8eb4e1a1_trip,00:30:00,00:31:00,STOP_22bc7db7-350f-4710-a186-c2d59120723b,1,Amerongen,0,0,0.0000000,
05759751-9927-422e-9bd8-3bdc8eb4e1a1_trip,01:00:00,01:01:00,VV:143:1,2,Eck en Wiel,0,0,137.1410241,
05c90f47-22ec-4035-b810-2c5b2df713b7_trip,00:30:00,00:31:00,STOP_9f771473-dfaa-488a-bbf8-1457db9d6bdd,1,Yerseke,0,0,0.2647051,
05c90f47-22ec-4035-b810-2c5b2df713b7_trip,01:00:00,01:01:00,STOP_5fb4415f-a19b-41c5-8545-170dda57bad5,2,Gorishoek,0,0,4003.7714409,
05c90f47-22ec-4035-b810-2c5b2df713b7_trip,01:30:00,01:31:00,STOP_3fa6f063-5471-42d8-9927-b8b59dac0ded,3,Wemeldinge,0,0,8746.9323484,
07b1d6a1-c793-4d04-a85c-0db4cfa385a2_trip,00:30:00,00:31:00,STOP_7ee0d923-0f98-4807-9b33-f90fb99810e6,1,Rhederlaag,0,0,0.0246422,
07b1d6a1-c793-4d04-a85c-0db4cfa385a2_trip,01:00:00,01:01:00,VV:21:1,2,Rheden,0,0,92.6268854,
