stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
STOP_1f948765-5e87-4e94-ab87-055c1e830cc8,,Texel Oosterend Hogezandskil,,53.1063085,4.8599696,,,0,,,
STOP_fee22d0f-ecc7-49d1-96f1-462df34c9181,,Lisse 2e Poellaan wz,,52.2399093,4.5473099,,,0,,,
STOP_62cbd152-8ed4-42a5-93d0-a461b55a6711,,Zwolle,,52.4797223,6.0815978,,,0,,,
STOP_b34d3b41-e6f7-4e77-8494-847e58c4357a,,Schaphalsterzijl,,53.3286240,6.4621711,,,0,,,
STOP_4ea1b923-e12d-42f7-9ac7-8924068adc23,,Gaastmeer,,52.9770204,5.4970157,,,0,,,
STOP_e58aab6c-6439-49c4-b395-117c49a66093,,Biesbosch Spieringpolder,,51.7855772,4.7651482,,,0,,,
STOP_65ab41d1-cb75-4661-b02a-844521c46bc9,,Acquoy,,51.9022227,5.1242423,,,0,,,
STOP_6e882eaa-6e1d-4817-b825-a4629f4b360e,,Pampus eiland,,52.3639128,5.0686777,,,0,,,
STOP_592b11e3-e756-4e45-830b-d5a986e6ed83,,Amstelveen Bovenkerkerpolder,,52.2726087,4.8724258,,,0,,,
VV:108:2,,Den Haag Westbroekpark,,52.1030410,4.2905870,,,0,,,
STOP_044fe36f-2ab1-4a5f-9751-4ad67b0a20f0,,Emden (D),,53.3397396,7.1854448,,,0,,,
VV:181:2,,Steyl,,51.3339390,6.1180520,,,0,,,
STOP_fc9f0f23-b861-4aa4-a760-965bdc220685,,Megen,,51.8176885,5.5475378,,,0,,,
STOP_746440ce-7a89-4086-af3c-2ade49345089,,Spijkenisse,,51.8309112,4.3946171,,,0,,,
STOP_7f97d245-c8ed-4ab8-b2c5-8fec27372fbb,,Kasteren,,51.5765495,5.3792346,,,0,,,
STOP_7ee0d923-0f98-4807-9b33-f90fb99810e6,,Rhederlaag,,51.9984896,6.0364294,,,0,,,
VV:193:1,,Noorden,,52.1641700,4.8261100,,,0,,,
STOP_70aaccb0-71b1-4757-9a3e-e90d41a3010d,,Kampen Mandjeswaard,,52.6022330,5.9501052,,,0,,,
STOP_39d4c47b-8e10-4f8a-954b-d7d77a0c199e,,De Brekken,,52.9782091,5.7080412,,,0,,,
VV:182:1,,IJmuiden,,52.4633770,4.5834510,,,0,,,
VV:253:1,,Amsterdam IJburg,,52.3532060,5.0036910,,,0,,,
VV:191:1,,Amsterdam Oeverlanden,,52.3344800,4.8146920,,,0,,,
STOP_d78e0acc-3e0a-495b-802f-0b983a5275e3,,Anna Jacobapolder,,51.6432701,4.0993166,,,0,,,
STOP_bf552b86-020f-4bf7-a62f-076256c17b5e,,Velden,,51.4191349,6.1579227,,,0,,,
STOP_76feef6b-4fa9-4a7b-a078-981648073fd0,,Loevestein,,51.8182324,5.0201082,,,0,,,
STOP_6e907e72-e20b-4246-87d1-3cdc2b85cf71,,Nieuw Beijerland,,51.8162825,4.3386126,,,0,,,
STOP_d6291ce4-2b82-4c44-a704-5bca372f5bb5,,d6291ce4-2b82-4c44-a704-5bca372f5bb5,,52.0082252,5.0967014,,,0,,,
STOP_71e0b1e8-bbd4-480a-95f2-522e3d93d3ff,,Wormerveer,,52.5143666,4.7764564,,,0,,,
VV:205:1,,Grou Hellinghaven,,53.0982950,5.8416360,,,0,,,
STOP_1bcec94b-0cc6-40df-a608-0de2cb8e8425,,Lienden,,51.9538932,5.5607557,,,0,,,
STOP_b416f038-7ac3-4c73-93a7-c2f80b3b8955,,Oosthuizen Warder 1,,52.5758740,5.0091755,,,0,,,
