route_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,service_id
ZH44 / NB04,aeaaaa37-cc0b-4e2e-9956-b5756e5d5a5f_trip,,Kop van t Land - Biesbosch Spieringpolder,0,,aeaaaa37-cc0b-4e2e-9956-b5756e5d5a5f,0,0,88671ae2-179b-4f44-bf94-4fa579fe2a8c
NB09 / Ge31,27817646-09b9-4a29-a3d7-841d7725009e_trip,,Woudrichem - Loevestein,0,,27817646-09b9-4a29-a3d7-841d7725009e,0,0,d48b5061-692d-4d3b-8841-b53a7ec16bdb
NH05 / Fr26,5bf445f3-b400-44cd-b1a3-9664aa56b9c4_trip,,Enkhuizen - Stavoren,0,,5bf445f3-b400-44cd-b1a3-9664aa56b9c4,0,0,3e8a2319-4e63-40b2-ba4f-89ae9e9f936c
ZH36,c92d0805-3634-4240-b671-943cb74842a6_trip,,Kinderdijk - Krimpen a/d Lek,0,,c92d0805-3634-4240-b671-943cb74842a6,0,0,0ef06ce9-e337-43b3-a9d7-0f5398a413ad
Ut02 / NH56,0cd788d0-7a0f-43c5-acc8-2604064e2c29_trip,,Amersfoort - Spakenburg,0,,0cd788d0-7a0f-43c5-acc8-2604064e2c29,0,0,c7a85ebc-337b-433f-aa1e-172c05d423e3
Fr37,796962ac-3f29-4b07-b9a4-f38dfbc94ef1_trip,,IJlst Eegracht - Ruterpolder,0,,796962ac-3f29-4b07-b9a4-f38dfbc94ef1,0,0,d5b01ba1-e1d5-4917-9646-7a3cdc5979f5
Ge55,d5952b2f-6df9-4b26-b028-304eb6f6e9b1_trip,,Borculo Ribberspad,0,,d5952b2f-6df9-4b26-b028-304eb6f6e9b1,0,0,67b2c1d4-a6a8-43c2-9566-194e4eff0b7b
Ge41 / NB21,acc627e1-9822-4ead-9886-0a0238b8f553_trip,,Appeltern - Megen,0,,acc627e1-9822-4ead-9886-0a0238b8f553,0,0,01bd62bf-86be-493a-ae8d-4c7821898820
NH02 / Fr10,6c8df1e7-3ea0-42ce-b321-959fa49a712c_trip,,Vlieland - Texel de Cocksdorp,0,,6c8df1e7-3ea0-42ce-b321-959fa49a712c,0,0,997fddb2-39a4-4b12-98d1-ae0bf2742dad
ZH40 / Ut07,b166f6fa-619d-4baa-9a2a-2d18fb576548_trip,,Ameide - Lopik,0,,b166f6fa-619d-4baa-9a2a-2d18fb576548,0,0,8830e50b-6f29-4100-8ff5-362e63132b41
ZH77,30db1347-31da-4623-a6dc-48c71d8ba819_trip,,De Zilk (2) - Hillegom,0,,30db1347-31da-4623-a6dc-48c71d8ba819,0,0,90430319-2a53-4226-99ac-e0fda756276e
ZH13,04f4c19f-5387-48ff-886d-d26933074444_trip,,Nieuwerkerk a/d IJssel - Kortenoord,0,,04f4c19f-5387-48ff-886d-d26933074444,0,0,fcafd8df-751c-472f-b712-cd8460db9011
Ut17,4f2dd6f8-f554-44e9-a668-164448f95a79_trip,,Alendorp De Meern,0,,4f2dd6f8-f554-44e9-a668-164448f95a79,0,0,1b8e81cf-faed-4ad2-bf18-1df6c07cab99
Ze09,b13d23ef-e7f3-45bb-9d52-ef432f73a8d1_trip,,Wolphaartsdijk - Kortgene,0,,b13d23ef-e7f3-45bb-9d52-ef432f73a8d1,0,0,d77c5192-f493-4174-8acb-d6e6a2735c9c
ZH23,c1f666d2-a56b-4ac0-8864-847d189d51e1_trip,,Spijkenisse - Krimpen,0,,c1f666d2-a56b-4ac0-8864-847d189d51e1,0,0,789e77df-0f2b-44af-9190-30de840f84e0
NH70,4242d8cd-2d5e-4149-80f2-b2ecffc732cf_trip,,Amsterdamse Bos - Nieuwe Meer,0,,4242d8cd-2d5e-4149-80f2-b2ecffc732cf,0,0,08c847cc-ccdc-4199-8d0d-5cb039d007e8
ZH67 / NB31,1131242a-b3bc-4344-836d-b567c4587d31_trip,,Willemstad - Numansdorp,0,,1131242a-b3bc-4344-836d-b567c4587d31,0,0,be536190-eef4-451c-84ff-fccb84d591c0
Ov22,0d16cd80-914b-4921-81ae-f33236ec3561_trip,,Zwartsluis museum-jachthaven,0,,0d16cd80-914b-4921-81ae-f33236ec3561,0,0,6106df58-6ea5-4558-8122-2e2f454f31e6
Ze15,85962e56-242f-479f-a3a4-39a2a4625219_trip,,Perkpolder - Hansweert,0,,85962e56-242f-479f-a3a4-39a2a4625219,0,0,9a13c23c-c093-4542-b796-c0f03446ad70
Fr14,2563771f-86b7-4c73-a8f5-8804dfc361d3_trip,,Eernewoude - It Wiid,0,,2563771f-86b7-4c73-a8f5-8804dfc361d3,0,0,a1610f8d-801f-41ac-9b87-33b5663fc079
ZH12,3a680ff4-79e9-4d38-a73d-6202ca827e28_trip,,Zevenhuizen - Bleiswijk,0,,,0,0,9c3b1759-1f1d-4e84-b417-7c21b7c60738
Ge10,db604ec1-0071-4f91-962c-1e7c41e7b83a_trip,,Staringkoepel - Lochem Dochterenseweg,0,,db604ec1-0071-4f91-962c-1e7c41e7b83a,0,0,cb25d6df-505d-4aee-be55-829168be0320
NB03,739a37f2-4950-4059-9d99-4ef056cb0ae9_trip,,Terheijden - Breda Haagse Beemden,0,,739a37f2-4950-4059-9d99-4ef056cb0ae9,0,0,e588353b-3198-4a88-9e23-5d3982d5bb82
NB28,48c0c531-d7b5-40f0-bbb5-c88b79f557b0_trip,,Kasteren - Liempde,0,,48c0c531-d7b5-40f0-bbb5-c88b79f557b0,0,0,72b822d8-7ba5-4ff4-9ed8-f8b59798f582
Ge46 / NB27,2413d4b9-0a01-4bd7-8415-5af39b0e02ea_trip,,Batenburg - Demen,0,,2413d4b9-0a01-4bd7-8415-5af39b0e02ea,0,0,205dae1d-d1b0-49bd-8744-ccd864137f5e
ZH03,c41dfaa9-b6c4-431a-b362-969fb828a417_trip,,Zwanburgpolder - Koudenhoorn,0,,c41dfaa9-b6c4-431a-b362-969fb828a417,0,0,85691211-6d76-421b-815c-35570a701bac
Ov15,f9b470da-1c83-4a09-81ae-6a428015934c_trip,,Loozen - Loozensche Linie,0,,f9b470da-1c83-4a09-81ae-6a428015934c,0,0,7e3fa25d-22cd-4caa-ab8a-3ba9090ae3c4
